Model,Network Type,GPRS,Year,Month,Height,Breadth,Width,Weight,Sim,Screen,Screen Size,Resolution_X,Resolution_Y,OS,Chipset,Cores,GPU,External Memory,Hard Disk,Main Memory,GPS,USB Type,Battery Size,NFC,Wifi,Radio,Fingerprint,Accelerometer,Gyroscope,Proximity
Samsung G,5,1,2007,7,101,47.8,14.9,104,1,TFT,2.2,240,320,-,-,-,-,0,-,-,0,2,880,0,No,1,-,-,-,-
Samsung Armani,5,1,2007,12,87.5,54.5,10.5,85,1,TFT,2.6,240,320,-,-,-,-,0,-,-,0,2,880,0,No,0,-,-,-,-
Samsung G,35,1,2007,12,101,51.1,18.8,134,1,TFT,2.4,240,320,-,-,-,-,0,-,-,0,2,-,0,No,1,-,-,-,-
Samsung S,5,1,2008,1,98,49.9,15.3,105,1,TFT,2.2,176,220,-,-,-,-,2,-,-,0,2,880,0,No,1,-,-,-,-
Motorola W,5,1,2008,1,95,45,17,94,1,CSTN,1.6,128,128,-,-,-,-,2,-,-,0,1.1,940,0,No,1,-,-,-,-
Motorola W,5,1,2008,1,110,45,14.7,80,1,CSTN,1.6,128,128,-,-,-,-,2,-,-,0,1.1,940,0,No,1,-,-,-,-
Samsung J,5,1,2008,2,99.5,48,14.8,92,1,TFT,2,128,160,-,-,-,-,2,-,-,0,2,800,0,No,1,-,-,-,-
Samsung G,35,1,2008,4,103,52.9,17.9,139,1,TFT,2.6,240,320,Symbian 9.2,TI OMAP,1,PowerVR MBX,0,-,-,1,2,1200,0,Wi-Fi 802.11 b/g,1,-,-,-,-
Samsung F,35,1,2008,5,98.4,55,11.6,100.6,1,TFT,2.8,240,320,-,-,-,-,8,-,-,0,2,1000,0,No,1,-,-,-,-
Samsung i,35,1,2008,7,112,56.9,12.5,122,1,TFT,3.2,240,400,Windows 6.1,-,1,-,16,8,0.125,2,2,1440,0,Wi-Fi 802.11b/g,1,0,1,0,0
